"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 15:32:40 GMT 2025","Tue Mar 18 15:32:41 GMT 2025","1094","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 15:32:10 GMT 2025","Tue Mar 18 15:32:10 GMT 2025","812","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 15:32:02 GMT 2025","Tue Mar 18 15:32:04 GMT 2025","1638","DELETE Cart Item API tests","","","","","should get 404 with non-existent product",""
"passed","Tue Mar 18 15:32:57 GMT 2025","Tue Mar 18 15:32:59 GMT 2025","1463","Register tests in isolation","","","","","should fail to register if user already exists",""
"passed","Tue Mar 18 15:32:21 GMT 2025","Tue Mar 18 15:32:22 GMT 2025","1571","PUT Cart Item API tests","","","","","should successfully update item quantity",""
"passed","Tue Mar 18 15:32:52 GMT 2025","Tue Mar 18 15:32:53 GMT 2025","1025","Products page isolated tests","","","","","should display all products",""
"passed","Tue Mar 18 15:32:11 GMT 2025","Tue Mar 18 15:32:11 GMT 2025","35","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 15:32:49 GMT 2025","Tue Mar 18 15:32:49 GMT 2025","563","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 15:32:34 GMT 2025","Tue Mar 18 15:32:35 GMT 2025","965","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 15:31:57 GMT 2025","Tue Mar 18 15:31:57 GMT 2025","34","DELETE Cart API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 15:32:17 GMT 2025","Tue Mar 18 15:32:18 GMT 2025","1492","POST Cart Items API tests","","","","","should get 404 with non-existent product",""
"passed","Tue Mar 18 15:32:29 GMT 2025","Tue Mar 18 15:32:29 GMT 2025","386","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 15:31:51 GMT 2025","Tue Mar 18 15:31:52 GMT 2025","788","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 15:32:44 GMT 2025","Tue Mar 18 15:32:45 GMT 2025","935","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 15:32:32 GMT 2025","Tue Mar 18 15:32:34 GMT 2025","1993","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 15:32:16 GMT 2025","Tue Mar 18 15:32:17 GMT 2025","798","POST Cart Items API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 15:32:25 GMT 2025","Tue Mar 18 15:32:26 GMT 2025","1469","PUT Cart Item API tests","","","","","should get 404 with non-existent product",""
"passed","Tue Mar 18 15:32:29 GMT 2025","Tue Mar 18 15:32:29 GMT 2025","374","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 15:32:01 GMT 2025","Tue Mar 18 15:32:02 GMT 2025","804","DELETE Cart Item API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 15:32:22 GMT 2025","Tue Mar 18 15:32:24 GMT 2025","1476","PUT Cart Item API tests","","","","","should get 400 with invalid quantity",""
"passed","Tue Mar 18 15:32:47 GMT 2025","Tue Mar 18 15:32:49 GMT 2025","1738","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 15:32:07 GMT 2025","Tue Mar 18 15:32:07 GMT 2025","45","GET Cart API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 15:32:06 GMT 2025","Tue Mar 18 15:32:07 GMT 2025","803","GET Cart API tests","","","","","should successfully get cart",""
"passed","Tue Mar 18 15:32:38 GMT 2025","Tue Mar 18 15:32:40 GMT 2025","1439","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 15:32:24 GMT 2025","Tue Mar 18 15:32:25 GMT 2025","779","PUT Cart Item API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 15:32:00 GMT 2025","Tue Mar 18 15:32:01 GMT 2025","1666","DELETE Cart Item API tests","","","","","should successfully remove item from cart",""
"passed","Tue Mar 18 15:31:52 GMT 2025","Tue Mar 18 15:31:52 GMT 2025","43","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 15:31:56 GMT 2025","Tue Mar 18 15:31:57 GMT 2025","1062","DELETE Cart API tests","","","","","should successfully clear cart",""
"passed","Tue Mar 18 15:32:43 GMT 2025","Tue Mar 18 15:32:44 GMT 2025","1019","Navbar tests","","","","","should logout on movile view",""
"passed","Tue Mar 18 15:32:13 GMT 2025","Tue Mar 18 15:32:15 GMT 2025","1545","POST Cart Items API tests","","","","","should successfully add item to cart",""
"passed","Tue Mar 18 15:32:55 GMT 2025","Tue Mar 18 15:32:57 GMT 2025","2008","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 15:32:15 GMT 2025","Tue Mar 18 15:32:16 GMT 2025","1469","POST Cart Items API tests","","","","","should get 400 with invalid quantity",""
"passed","Tue Mar 18 15:31:52 GMT 2025","Tue Mar 18 15:31:53 GMT 2025","759","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 15:31:50 GMT 2025","Tue Mar 18 15:31:51 GMT 2025","1714","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 15:32:41 GMT 2025","Tue Mar 18 15:32:42 GMT 2025","1039","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 15:32:29 GMT 2025","Tue Mar 18 15:32:29 GMT 2025","57","Register API tests","","","","","should get 400 on invalid username",""
